Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2022-02-15,4393.5,4468.0,4381.75,4464.5,1523305,28.09000015258789,28.09000015258789,25.329999923706055,25.700000762939453,2,2,15
2022-02-16,4458.75,4484.5,4422.75,4470.0,1426847,25.190000534057617,27.09000015258789,23.8799991607666,24.290000915527344,3,2,16
2022-02-17,4464.25,4474.75,4367.25,4374.5,1629730,24.829999923706055,28.3700008392334,24.760000228881836,28.110000610351562,4,2,17
2022-02-18,4374.75,4411.5,4321.0,4343.5,1824590,26.65999984741211,29.709999084472656,26.3799991607666,27.75,5,2,18
2022-02-22,4324.25,4391.25,4250.0,4300.0,2589159,31.799999237060547,32.040000915527344,28.399999618530273,28.809999465942383,2,2,22
2022-02-23,4310.75,4345.5,4212.5,4222.0,1914227,28.040000915527344,31.06999969482422,27.200000762939453,31.020000457763672,3,2,23
2022-02-24,4215.5,4290.0,4101.75,4284.0,2945330,37.5,37.790000915527344,29.450000762939453,30.31999969482422,4,2,24
2022-02-25,4266.75,4384.25,4227.5,4380.0,1950397,31.68000030517578,32.0,26.93000030517578,27.59000015258789,5,2,25
2022-02-28,4299.5,4385.5,4251.5,4368.0,2189820,32.439998626708984,33.5099983215332,28.43000030517578,30.149999618530273,1,2,28
2022-03-01,4367.5,4399.0,4275.0,4303.75,1869277,29.450000762939453,35.189998626708984,29.440000534057617,33.31999969482422,2,3,1
2022-03-02,4308.75,4399.25,4278.25,4381.75,1712970,34.20000076293945,34.40999984741211,30.1200008392334,30.739999771118164,3,3,2
2022-03-03,4373.75,4418.75,4341.0,4359.25,1547676,30.520000457763672,32.0099983215332,29.309999465942383,30.479999542236328,4,3,3
2022-03-04,4366.5,4374.5,4281.25,4327.25,1842722,31.899999618530273,34.650001525878906,31.469999313354492,31.979999542236328,5,3,4
2022-03-07,4308.75,4325.25,4185.25,4198.5,1902001,35.880001068115234,36.54999923706055,32.59000015258789,36.45000076293945,1,3,7
2022-03-08,4186.5,4275.0,4138.75,4168.75,2333021,36.189998626708984,37.52000045776367,32.779998779296875,35.130001068115234,2,3,8
2022-03-09,4153.0,4298.25,4152.0,4275.25,1659520,33.7400016784668,34.119998931884766,31.389999389648438,32.45000076293945,3,3,9
2022-03-10,4279.0,4282.25,4207.0,4257.25,1745090,33.029998779296875,34.029998779296875,30.229999542236328,30.229999542236328,4,3,10
2022-03-11,4258.5,4335.5,4198.0,4201.5,1645055,30.43000030517578,31.040000915527344,28.84000015258789,30.75,5,3,11
2022-03-14,4216.0,4254.5,4160.75,4172.0,1438651,31.030000686645508,33.18000030517578,30.059999465942383,31.770000457763672,1,3,14
2022-03-15,4180.25,4271.5,4138.0,4262.0,1085846,33.130001068115234,33.83000183105469,29.56999969482422,29.829999923706055,2,3,15
2022-03-16,4257.5,4376.0,4246.25,4358.0,722600,29.020000457763672,29.799999237060547,26.290000915527344,26.670000076293945,3,3,16
2022-03-17,4370.5,4415.25,4329.0,4410.25,434642,26.510000228881836,27.469999313354492,25.25,25.670000076293945,4,3,17
2022-03-18,4393.0,4409.35009765625,4373.75,4409.35009765625,1405299,26.360000610351562,26.81999969482422,23.850000381469727,23.8700008392334,5,3,18
2022-03-21,4460.0,4473.0,4415.0,4452.25,1375090,25.139999389648438,25.360000610351562,22.989999771118164,23.530000686645508,1,3,21
2022-03-22,4456.75,4514.75,4433.0,4505.0,1205860,24.020000457763672,24.020000457763672,22.700000762939453,22.940000534057617,2,3,22
2022-03-23,4504.0,4514.0,4444.75,4447.5,1336967,23.040000915527344,24.030000686645508,22.639999389648438,23.56999969482422,3,3,23
2022-03-24,4449.25,4517.5,4445.75,4512.5,1221569,23.610000610351562,23.790000915527344,21.489999771118164,21.670000076293945,4,3,24
2022-03-25,4516.25,4539.0,4493.25,4536.5,1251078,21.8700008392334,22.860000610351562,20.799999237060547,20.809999465942383,5,3,25
2022-03-28,4535.25,4572.25,4509.75,4568.0,1182527,22.139999389648438,23.329999923706055,19.540000915527344,19.6299991607666,1,3,28
2022-03-29,4570.25,4631.0,4565.25,4625.5,1353683,19.700000762939453,19.729999542236328,18.670000076293945,18.899999618530273,2,3,29
2022-03-30,4621.25,4627.5,4574.75,4596.0,1206203,19.3799991607666,20.510000228881836,18.719999313354492,19.329999923706055,3,3,30
